path,label
archive\iam_words\words\b03\b03-104\b03-104-02-06.png,","
archive\iam_words\words\a01\a01-020x\a01-020x-07-06.png,proposed
archive\iam_words\words\b04\b04-202\b04-202-05-00.png,JOHN
archive\iam_words\words\e06\e06-033\e06-033-02-02.png,will
archive\iam_words\words\a05\a05-022\a05-022-06-00.png,the
archive\iam_words\words\c02\c02-049\c02-049-00-04.png,Berlin
archive\iam_words\words\d04\d04-125\d04-125-00-08.png,God
archive\iam_words\words\c03\c03-094a\c03-094a-06-01.png,asked
archive\iam_words\words\b03\b03-092\b03-092-04-09.png,STATE
archive\iam_words\words\c03\c03-016e\c03-016e-07-05.png,and
archive\iam_words\words\e04\e04-011\e04-011-04-07.png,piece
archive\iam_words\words\d06\d06-015\d06-015-04-01.png,are
archive\iam_words\words\b01\b01-118\b01-118-04-00.png,that
archive\iam_words\words\d06\d06-008\d06-008-00-00.png,To
archive\iam_words\words\b06\b06-042\b06-042-10-00.png,appalled
archive\iam_words\words\a01\a01-063\a01-063-00-07.png,higher
archive\iam_words\words\a02\a02-090\a02-090-00-09.png,again
archive\iam_words\words\c03\c03-087f\c03-087f-02-02.png,a
archive\iam_words\words\c03\c03-003a\c03-003a-05-05.png,life
archive\iam_words\words\e04\e04-011\e04-011-00-02.png,2
archive\iam_words\words\e06\e06-053\e06-053-03-04.png,presumably
archive\iam_words\words\c03\c03-087a\c03-087a-03-02.png,central
archive\iam_words\words\b06\b06-110\b06-110-00-10.png,people
archive\iam_words\words\a01\a01-102u\a01-102u-03-10.png,:
archive\iam_words\words\a01\a01-096u\a01-096u-05-01.png,a
archive\iam_words\words\c01\c01-009\c01-009-07-01.png,a
archive\iam_words\words\a01\a01-132x\a01-132x-07-05.png,in
archive\iam_words\words\e02\e02-018\e02-018-01-04.png,required
archive\iam_words\words\b06\b06-012\b06-012-04-00.png,Nato
archive\iam_words\words\e01\e01-107\e01-107-05-02.png,given
archive\iam_words\words\c03\c03-021a\c03-021a-09-06.png,love
archive\iam_words\words\a06\a06-157\a06-157-03-10.png,used
archive\iam_words\words\a01\a01-107u\a01-107u-05-04.png,Interrupted
archive\iam_words\words\d01\d01-056\d01-056-07-00.png,have
archive\iam_words\words\c06\c06-106\c06-106-05-07.png,she
archive\iam_words\words\c03\c03-087d\c03-087d-03-01.png,which
archive\iam_words\words\c04\c04-150\c04-150-02-07.png,part
archive\iam_words\words\e06\e06-015\e06-015-07-01.png,to
archive\iam_words\words\a06\a06-039\a06-039-02-03.png,","
archive\iam_words\words\d06\d06-020\d06-020-08-09.png,","
archive\iam_words\words\e04\e04-011\e04-011-04-01.png,3
archive\iam_words\words\c03\c03-021b\c03-021b-04-10.png,her
archive\iam_words\words\c02\c02-078\c02-078-01-00.png,about
archive\iam_words\words\a05\a05-009\a05-009-05-05.png,by
archive\iam_words\words\c03\c03-000f\c03-000f-06-03.png,derived
archive\iam_words\words\a05\a05-073\a05-073-05-06.png,a
archive\iam_words\words\a05\a05-073\a05-073-00-01.png,spent
archive\iam_words\words\c06\c06-005\c06-005-07-04.png,stops
archive\iam_words\words\c03\c03-016a\c03-016a-07-05.png,is
archive\iam_words\words\a01\a01-132x\a01-132x-05-02.png,attack
archive\iam_words\words\c02\c02-022\c02-022-05-03.png,Malachias
archive\iam_words\words\c02\c02-030\c02-030-02-08.png,epilogue
archive\iam_words\words\a04\a04-099\a04-099-00-02.png,retaliation
archive\iam_words\words\b03\b03-098\b03-098-09-01.png,of
archive\iam_words\words\b06\b06-032\b06-032-03-02.png,Labour
archive\iam_words\words\b05\b05-045\b05-045-09-02.png,""""
archive\iam_words\words\d06\d06-008\d06-008-02-02.png,speak
archive\iam_words\words\e02\e02-100\e02-100-01-06.png,apparent
archive\iam_words\words\b04\b04-128\b04-128-01-08.png,steel
archive\iam_words\words\a06\a06-114\a06-114-05-05.png,holiday
archive\iam_words\words\c03\c03-000d\c03-000d-01-05.png,opens
archive\iam_words\words\c03\c03-003d\c03-003d-06-02.png,its
archive\iam_words\words\d04\d04-117\d04-117-03-04.png,","
archive\iam_words\words\a01\a01-117u\a01-117u-10-04.png,by
archive\iam_words\words\a03\a03-027\a03-027-07-02.png,delegates
archive\iam_words\words\a01\a01-077u\a01-077u-07-07.png,answer
archive\iam_words\words\d06\d06-000\d06-000-07-08.png,and
archive\iam_words\words\e04\e04-000\e04-000-02-00.png,commercial
archive\iam_words\words\e04\e04-011\e04-011-01-08.png,1
archive\iam_words\words\a04\a04-010\a04-010-00-03.png,get
archive\iam_words\words\d06\d06-003\d06-003-02-06.png,indeed
archive\iam_words\words\c02\c02-056\c02-056-06-10.png,which
archive\iam_words\words\a04\a04-006\a04-006-05-03.png,of
archive\iam_words\words\a01\a01-077\a01-077-06-04.png,.
